participant,blockcode,trialnum,correct,latency1,stimoli,categorie,Condition,latency.cor,blocco,block,latency
1,Whitegood,2,1,1224,odio,Negativo,comp,1224,prova_comp4,practiceWhitegood,1224
1,Whitegood,4,1,5160,bf14,NeroFemmina,comp,5160,prova_comp4,practiceWhitegood,5160
1,Whitegood,6,1,1214,ridere,Positivo,comp,1214,prova_comp4,practiceWhitegood,1214
1,Whitegood,8,1,1143,bf56,NeroFemmina,comp,1143,prova_comp4,practiceWhitegood,1143
1,Whitegood,10,1,827,cattivo,Negativo,comp,827,prova_comp4,practiceWhitegood,827
1,Whitegood,12,1,1859,wf3,BiancoFem,comp,1859,prova_comp4,practiceWhitegood,1859
1,Whitegood,14,1,876,dolore,Negativo,comp,876,prova_comp4,practiceWhitegood,876
1,Whitegood,16,1,1002,wm1,BiancoMaschio,comp,1002,prova_comp4,practiceWhitegood,1002
1,Whitegood,18,1,932,terribile,Negativo,comp,932,prova_comp4,practiceWhitegood,932
1,Whitegood,20,1,912,bm14,NeroMaschio,comp,912,prova_comp4,practiceWhitegood,912
1,Whitegood,22,1,1334,gloria,Positivo,comp,1334,prova_comp4,practiceWhitegood,1334
1,Whitegood,24,1,682,bm56,NeroMaschio,comp,682,prova_comp4,practiceWhitegood,682
1,Whitegood,26,1,929,male,Negativo,comp,929,prova_comp4,practiceWhitegood,929
1,Whitegood,28,1,580,wf6,BiancoFem,comp,580,prova_comp4,practiceWhitegood,580
1,Whitegood,30,1,743,fallimento,Negativo,comp,743,prova_comp4,practiceWhitegood,743
1,Whitegood,32,1,667,wf2,BiancoFem,comp,667,prova_comp4,practiceWhitegood,667
1,Whitegood,34,1,762,fastidioso,Negativo,comp,762,prova_comp4,practiceWhitegood,762
1,Whitegood,36,1,637,bm23,NeroMaschio,comp,637,prova_comp4,practiceWhitegood,637
1,Whitegood,38,1,702,felicità,Positivo,comp,702,prova_comp4,practiceWhitegood,702
1,Whitegood,40,1,867,wm4,BiancoMaschio,comp,867,prova_comp4,practiceWhitegood,867
1,Whitegood,43,1,866,bf23,NeroFemmina,comp,866,test_comp4,testWhitegood,866
1,Whitegood,45,1,1194,buono,Positivo,comp,1194,test_comp4,testWhitegood,1194
1,Whitegood,47,1,659,bf56,NeroFemmina,comp,659,test_comp4,testWhitegood,659
1,Whitegood,49,1,771,orribile,Negativo,comp,771,test_comp4,testWhitegood,771
1,Whitegood,51,1,694,wm6,BiancoMaschio,comp,694,test_comp4,testWhitegood,694
1,Whitegood,53,1,1124,fastidioso,Negativo,comp,1124,test_comp4,testWhitegood,1124
1,Whitegood,55,1,608,wf2,BiancoFem,comp,608,test_comp4,testWhitegood,608
1,Whitegood,57,1,690,pace,Positivo,comp,690,test_comp4,testWhitegood,690
1,Whitegood,59,1,888,wm4,BiancoMaschio,comp,888,test_comp4,testWhitegood,888
1,Whitegood,61,1,743,piacere,Positivo,comp,743,test_comp4,testWhitegood,743
1,Whitegood,63,1,690,wf6,BiancoFem,comp,690,test_comp4,testWhitegood,690
1,Whitegood,65,1,673,gioia,Positivo,comp,673,test_comp4,testWhitegood,673
1,Whitegood,67,1,975,wm1,BiancoMaschio,comp,975,test_comp4,testWhitegood,975
1,Whitegood,69,1,883,amore,Positivo,comp,883,test_comp4,testWhitegood,883
1,Whitegood,71,1,881,bm56,NeroMaschio,comp,881,test_comp4,testWhitegood,881
1,Whitegood,73,1,679,fallimento,Negativo,comp,679,test_comp4,testWhitegood,679
1,Whitegood,75,1,717,wf3,BiancoFem,comp,717,test_comp4,testWhitegood,717
1,Whitegood,77,1,2235,odio,Negativo,comp,2235,test_comp4,testWhitegood,2235
1,Whitegood,79,1,1235,wm6,BiancoMaschio,comp,1235,test_comp4,testWhitegood,1235
1,Whitegood,81,1,796,dolore,Negativo,comp,796,test_comp4,testWhitegood,796
1,Whitegood,83,1,909,wm4,BiancoMaschio,comp,909,test_comp4,testWhitegood,909
1,Whitegood,85,1,867,ridere,Positivo,comp,867,test_comp4,testWhitegood,867
1,Whitegood,87,1,642,bf23,NeroFemmina,comp,642,test_comp4,testWhitegood,642
1,Whitegood,89,1,914,buono,Positivo,comp,914,test_comp4,testWhitegood,914
1,Whitegood,91,1,1407,bm14,NeroMaschio,comp,1407,test_comp4,testWhitegood,1407
1,Whitegood,93,1,1185,male,Negativo,comp,1185,test_comp4,testWhitegood,1185
1,Whitegood,95,1,636,bm23,NeroMaschio,comp,636,test_comp4,testWhitegood,636
1,Whitegood,97,1,852,orribile,Negativo,comp,852,test_comp4,testWhitegood,852
1,Whitegood,99,1,860,wf6,BiancoFem,comp,860,test_comp4,testWhitegood,860
1,Whitegood,101,1,1739,cattivo,Negativo,comp,1739,test_comp4,testWhitegood,1739
1,Whitegood,103,1,672,bf14,NeroFemmina,comp,672,test_comp4,testWhitegood,672
1,Whitegood,105,1,975,felicità,Positivo,comp,975,test_comp4,testWhitegood,975
1,Whitegood,107,1,609,bf56,NeroFemmina,comp,609,test_comp4,testWhitegood,609
1,Whitegood,109,1,1419,pace,Positivo,comp,1419,test_comp4,testWhitegood,1419
1,Whitegood,111,1,884,wf2,BiancoFem,comp,884,test_comp4,testWhitegood,884
1,Whitegood,113,1,738,amore,Positivo,comp,738,test_comp4,testWhitegood,738
1,Whitegood,115,1,1119,bm14,NeroMaschio,comp,1119,test_comp4,testWhitegood,1119
1,Whitegood,117,1,860,piacere,Positivo,comp,860,test_comp4,testWhitegood,860
1,Whitegood,119,1,699,bm56,NeroMaschio,comp,699,test_comp4,testWhitegood,699
1,Whitegood,121,1,1544,gioia,Positivo,comp,1544,test_comp4,testWhitegood,1544
1,Whitebad,2,1,3725,ridere,Positivo,inc,3725,prova_inc6,practiceWhitebad,3725
1,Whitebad,4,1,1818,wm1,BiancoMaschio,inc,1818,prova_inc6,practiceWhitebad,1818
1,Whitebad,6,1,2204,gloria,Positivo,inc,2204,prova_inc6,practiceWhitebad,2204
1,Whitebad,8,1,1350,bf14,NeroFemmina,inc,1350,prova_inc6,practiceWhitebad,1350
1,Whitebad,10,1,1978,orribile,Negativo,inc,1978,prova_inc6,practiceWhitebad,1978
1,Whitebad,12,1,2324,wf6,BiancoFem,inc,2324,prova_inc6,practiceWhitebad,2324
1,Whitebad,14,1,1082,odio,Negativo,inc,1082,prova_inc6,practiceWhitebad,1082
1,Whitebad,16,1,1696,bf23,NeroFemmina,inc,1696,prova_inc6,practiceWhitebad,1696
1,Whitebad,18,1,2255,pace,Positivo,inc,2255,prova_inc6,practiceWhitebad,2255
1,Whitebad,20,1,1335,bm14,NeroMaschio,inc,1335,prova_inc6,practiceWhitebad,1335
1,Whitebad,22,1,1499,amore,Positivo,inc,1499,prova_inc6,practiceWhitebad,1499
1,Whitebad,24,1,1137,wm4,BiancoMaschio,inc,1137,prova_inc6,practiceWhitebad,1137
1,Whitebad,26,1,1078,buono,Positivo,inc,1078,prova_inc6,practiceWhitebad,1078
1,Whitebad,28,1,1068,bm23,NeroMaschio,inc,1068,prova_inc6,practiceWhitebad,1068
1,Whitebad,30,1,1875,fastidioso,Negativo,inc,1875,prova_inc6,practiceWhitebad,1875
1,Whitebad,32,1,2346,wf2,BiancoFem,inc,2346,prova_inc6,practiceWhitebad,2346
1,Whitebad,34,1,1654,male,Negativo,inc,1654,prova_inc6,practiceWhitebad,1654
1,Whitebad,36,1,1702,wf3,BiancoFem,inc,1702,prova_inc6,practiceWhitebad,1702
1,Whitebad,38,1,1165,gioia,Positivo,inc,1165,prova_inc6,practiceWhitebad,1165
1,Whitebad,40,1,960,wm6,BiancoMaschio,inc,960,prova_inc6,practiceWhitebad,960
1,Whitebad,43,1,1259,bm56,NeroMaschio,inc,1259,test_inc6,testWhitebad,1259
1,Whitebad,45,1,1627,cattivo,Negativo,inc,1627,test_inc6,testWhitebad,1627
1,Whitebad,47,1,1459,wm4,BiancoMaschio,inc,1459,test_inc6,testWhitebad,1459
1,Whitebad,49,1,1315,fallimento,Negativo,inc,1315,test_inc6,testWhitebad,1315
1,Whitebad,51,1,1352,bf56,NeroFemmina,inc,1352,test_inc6,testWhitebad,1352
1,Whitebad,53,1,1988,felicità,Positivo,inc,1988,test_inc6,testWhitebad,1988
1,Whitebad,55,1,2047,wm6,BiancoMaschio,inc,2047,test_inc6,testWhitebad,2047
1,Whitebad,57,1,2119,terribile,Negativo,inc,2119,test_inc6,testWhitebad,2119
1,Whitebad,59,1,773,bf56,NeroFemmina,inc,773,test_inc6,testWhitebad,773
1,Whitebad,61,1,1512,piacere,Positivo,inc,1512,test_inc6,testWhitebad,1512
1,Whitebad,63,1,901,wm1,BiancoMaschio,inc,901,test_inc6,testWhitebad,901
1,Whitebad,65,1,987,amore,Positivo,inc,987,test_inc6,testWhitebad,987
1,Whitebad,67,1,1045,bm56,NeroMaschio,inc,1045,test_inc6,testWhitebad,1045
1,Whitebad,69,1,1478,dolore,Negativo,inc,1478,test_inc6,testWhitebad,1478
1,Whitebad,71,1,1036,bf14,NeroFemmina,inc,1036,test_inc6,testWhitebad,1036
1,Whitebad,73,1,1228,pace,Positivo,inc,1228,test_inc6,testWhitebad,1228
1,Whitebad,75,1,3293,bf23,NeroFemmina,inc,3293,test_inc6,testWhitebad,3293
1,Whitebad,77,1,1588,fastidioso,Negativo,inc,1588,test_inc6,testWhitebad,1588
1,Whitebad,79,1,2127,wf2,BiancoFem,inc,2127,test_inc6,testWhitebad,2127
1,Whitebad,81,1,1108,cattivo,Negativo,inc,1108,test_inc6,testWhitebad,1108
1,Whitebad,83,1,937,wf6,BiancoFem,inc,937,test_inc6,testWhitebad,937
1,Whitebad,85,1,966,gloria,Positivo,inc,966,test_inc6,testWhitebad,966
1,Whitebad,87,1,1064,wf3,BiancoFem,inc,1064,test_inc6,testWhitebad,1064
1,Whitebad,89,1,1200,gioia,Positivo,inc,1200,test_inc6,testWhitebad,1200
1,Whitebad,91,1,1161,bm23,NeroMaschio,inc,1161,test_inc6,testWhitebad,1161
1,Whitebad,93,1,1277,felicità,Positivo,inc,1277,test_inc6,testWhitebad,1277
1,Whitebad,95,1,940,bm14,NeroMaschio,inc,940,test_inc6,testWhitebad,940
1,Whitebad,97,1,1080,male,Negativo,inc,1080,test_inc6,testWhitebad,1080
1,Whitebad,99,1,822,bf14,NeroFemmina,inc,822,test_inc6,testWhitebad,822
1,Whitebad,101,1,1048,piacere,Positivo,inc,1048,test_inc6,testWhitebad,1048
1,Whitebad,103,1,983,wf3,BiancoFem,inc,983,test_inc6,testWhitebad,983
1,Whitebad,105,1,938,odio,Negativo,inc,938,test_inc6,testWhitebad,938
1,Whitebad,107,1,902,wf2,BiancoFem,inc,902,test_inc6,testWhitebad,902
